,0,1,2,3,4,5,6,7,8,9
0,0.000±0.000,0.006±0.019,0.026±0.047,0.042±0.051,0.026±0.038,0.023±0.037,0.026±0.043,0.006±0.019,0.019±0.036,0.010±0.023
1,0.000±0.000,0.000±0.000,0.008±0.024,0.000±0.000,0.071±0.108,0.004±0.017,0.028±0.045,0.020±0.049,0.008±0.024,0.000±0.000
2,0.108±0.118,0.054±0.072,0.000±0.000,0.129±0.100,0.145±0.119,0.038±0.070,0.054±0.064,0.113±0.063,0.075±0.108,0.011±0.032
3,0.049±0.071,0.012±0.036,0.140±0.088,0.000±0.000,0.036±0.056,0.376±0.199,0.000±0.000,0.079±0.079,0.200±0.150,0.036±0.068
4,0.018±0.056,0.094±0.109,0.088±0.117,0.012±0.035,0.000±0.000,0.012±0.035,0.088±0.082,0.029±0.051,0.006±0.026,0.194±0.154
5,0.154±0.170,0.014±0.042,0.063±0.082,0.182±0.166,0.049±0.080,0.000±0.000,0.098±0.126,0.028±0.071,0.105±0.107,0.084±0.128
6,0.156±0.152,0.078±0.087,0.054±0.080,0.000±0.000,0.072±0.070,0.042±0.069,0.000±0.000,0.000±0.000,0.078±0.078,0.000±0.000
7,0.025±0.086,0.082±0.108,0.063±0.102,0.032±0.055,0.133±0.129,0.019±0.045,0.000±0.000,0.000±0.000,0.095±0.105,0.164±0.145
8,0.162±0.120,0.155±0.141,0.120±0.143,0.240±0.190,0.078±0.094,0.346±0.187,0.099±0.101,0.064±0.083,0.000±0.000,0.049±0.092
9,0.055±0.090,0.030±0.053,0.024±0.049,0.024±0.049,0.231±0.163,0.012±0.037,0.000±0.000,0.171±0.130,0.018±0.043,0.000±0.000
