,0,1,2,3,4,5,6,7,8,9
0,0.000±0.000,0.000±0.000,0.000±0.000,0.000±0.000,0.000±0.000,0.000±0.000,0.000±0.000,0.000±0.000,0.000±0.000,0.000±0.000
1,0.001±0.005,0.000±0.000,0.000±0.001,0.000±0.000,0.001±0.003,0.000±0.001,0.000±0.000,0.000±0.000,0.000±0.000,0.000±0.000
2,0.002±0.002,0.001±0.001,0.000±0.000,0.001±0.001,0.001±0.001,0.000±0.001,0.000±0.001,0.001±0.001,0.000±0.001,0.000±0.001
3,0.001±0.001,0.000±0.001,0.002±0.002,0.000±0.000,0.001±0.001,0.003±0.002,0.000±0.000,0.001±0.001,0.001±0.001,0.001±0.001
4,0.001±0.002,0.002±0.002,0.003±0.001,0.001±0.001,0.000±0.000,0.001±0.001,0.001±0.001,0.000±0.001,0.000±0.000,0.002±0.003
5,0.003±0.002,0.000±0.001,0.002±0.002,0.004±0.003,0.003±0.002,0.000±0.000,0.001±0.001,0.000±0.001,0.001±0.001,0.001±0.002
6,0.003±0.002,0.001±0.001,0.001±0.001,0.001±0.001,0.002±0.002,0.001±0.002,0.000±0.000,0.000±0.000,0.001±0.001,0.000±0.001
7,0.001±0.001,0.001±0.002,0.001±0.001,0.001±0.001,0.003±0.002,0.001±0.002,0.001±0.003,0.000±0.000,0.001±0.001,0.002±0.002
8,0.005±0.002,0.002±0.001,0.002±0.002,0.004±0.003,0.002±0.002,0.003±0.002,0.002±0.002,0.001±0.001,0.000±0.000,0.001±0.001
9,0.001±0.001,0.002±0.002,0.001±0.001,0.001±0.001,0.004±0.003,0.001±0.002,0.001±0.002,0.003±0.002,0.001±0.001,0.000±0.000
